1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Unholy Blood,Who Made Me a Princess,I Woke Up as the Ugly Duckling,The Beloved Little Princess,I'll Be the Matriarch in This Life,Tensei Shitara Slime Datta Ken,"Daddy, I Don't Want to Marry!",Poison Dragon: The Legend of an Asura,The Second Coming of Gluttony,Horimiya,Villains Are Destined to Die,"Kiss Me, Liar",I Belong to House Castiello,Mushoku Tensei - Isekai Ittara Honki Dasu,Sweet Dream,Angnyeoga Saranghal Ttae,Secret Class,How to Snag an Alpha,Totem Realm,Solo Leveling,Momoiro Anzuiro Sakurairo,The First Night With the Duke,Kuro Gal ni natta kara Shinyuu to Yattemita.,The Villainess Is a Marionette,The Way to Keep an Older Brother of the Heroine Safe
" Action, Fantasy, Romance, Slice of Life, Supernatural"," Comedy, Fantasy, Romance, Shoujo, Slice of Life"," Fantasy, Romance, Shoujo"," Fantasy, Historical, Shoujo, Slice of Life"," Drama, Fantasy, Historical, Romance, Shoujo"," Action, Adventure, Comedy, Drama, Fantasy, Harem, Shounen"," Drama, Fantasy, Romance, Shoujo"," Action, Adventure, Drama, Fantasy, Martial Arts"," Action, Adventure, Drama, Fantasy, Harem, Mature, Seinen, Supernatural"," Comedy, Romance, School Life, Shounen, Slice of Life"," Drama, Fantasy, Historical, Psychological, Romance, Shoujo, Tragedy"," Adult, Drama, Romance, Smut, Yaoi"," Fantasy, Historical, Romance, Shoujo, Slice of Life"," Action, Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Romance, Seinen"," Josei, Romance, Smut, Supernatural"," Comedy, Drama, Fantasy, Harem, Josei, Romance"," Adult, Drama, Harem, Romance, Seinen"," Comedy, Drama, Romance, Yaoi"," Fantasy, Josei, Mature, Romance, Smut"," Action, Adventure, Fantasy, Shounen, Supernatural"," Drama, Josei, Romance, Smut"," Comedy, Drama, Fantasy, Historical, Josei, Romance"," Adult, Gender Bender, Josei, Romance, Smut, Yaoi"," Drama, Fantasy, Romance, Shoujo"," Drama, Fantasy, Josei, Psychological, Romance"
