1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Romance 101,Kaifuku Jutsushi no Yarinaoshi,Gokushufudou,Who's Your Daddy?,Latna Saga: Survival of a Sword King,The Precious Sister of the Villainous Grand Duke,Charlotte and Her 5 Disciples,Shingeki no Kyojin,Daughter of the Emperor,She Would Never Know,Jujutsu Kaisen,Your Majesty Is Mine,The Monstrous Duke's Adopted Daughter,One's In-Laws Virgins,Secret Playlist,Coffee & Vanilla,True Beauty,Gwihwanjaui Mabeobeun Teugbyeolhaeya Habnida,Player Who Can't Level Up,Skeleton Soldier Couldn't Protect the Dungeon,Ginger and the Cursed Prince,Kaguya-sama wa Kokurasetai - Tensai-tachi no Renai Zunousen,A Villainess for the Tyrant,The Villainess Lives Again,I Don't Love You Anymore
" Comedy, Romance, School Life, Shoujo, Slice of Life"," Action, Adult, Adventure, Drama, Fantasy, Harem, Mature, Psychological, Seinen"," Comedy, Seinen, Slice of Life"," Smut, Yaoi"," Action, Adventure, Comedy, Fantasy, Shounen"," Adventure, Comedy, Drama, Fantasy, Romance, Shoujo"," Comedy, Fantasy, Romance, Shoujo, Supernatural"," Action, Drama, Fantasy, Horror, Mature, Mystery, Psychological, Shounen, Supernatural, Tragedy"," Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life"," Drama, Josei, Romance"," Action, Drama, Horror, School Life, Shounen, Supernatural"," Fantasy, Historical, Josei, Romance, Smut"," Drama, Fantasy, Romance, Shoujo, Supernatural, Tragedy"," Adult, Comedy, Drama, Harem, Romance, Seinen"," Drama, Josei, Romance"," Romance, Shoujo, Smut"," Comedy, Drama, Romance, School Life, Shoujo"," Action, Adventure, Comedy, Fantasy, Harem, Martial Arts, School Life, Shounen"," Action, Adventure, Fantasy, Shounen"," Action, Adventure, Drama, Fantasy, Seinen, Supernatural"," Comedy, Fantasy, Romance, Shoujo"," Comedy, Drama, Psychological, Romance, School Life, Seinen, Slice of Life"," Comedy, Drama, Fantasy, Historical, Josei, Romance, Supernatural"," Drama, Fantasy, Historical, Josei, Romance"," Drama, Fantasy, Historical, Romance, Shoujo"
